id_depto_indec_residencia;departamento_residencia;id_prov_indec_residencia;provincia_residencia;anio_min;evento;id_grupo_etario;grupo_etario;sepi_min;cantidad
119;San Lorenzo;82;Santa Fe;2024;Dengue;9;De 25 a 34 años;15;27
028;Capital;54;Misiones;2024;Dengue;12;Mayores de 65 años;5;32
105;Maracó;42;La Pampa;2024;Dengue;7;De 15 a 19 años;12;4
001;COMUNA 1;02;CABA;2024;Dengue;6;De 10 a 14 años;16;44
007;COMUNA 7;02;CABA;2024;Dengue;7;De 15 a 19 años;12;8
412;José C. Paz;06;Buenos Aires;2024;Dengue;12;Mayores de 65 años;10;82
008;COMUNA 8;02;CABA;2024;Dengue;7;De 15 a 19 años;12;12
012;COMUNA 12;02;CABA;2024;Dengue;6;De 10 a 14 años;6;1
274;Florencio Varela;06;Buenos Aires;2024;Dengue;5;De 5 a 9 años;14;22
126;1º de Mayo;22;Chaco;2024;Dengue;11;De 45 a 65 años;6;13
049;Capital;86;Santiago del Estero;2024;Dengue;11;De 45 a 65 años;20;22
049;Capital;86;Santiago del Estero;2024;Dengue;6;De 10 a 14 años;5;3
441;La Plata;06;Buenos Aires;2024;Dengue;6;De 10 a 14 años;15;19
098;Juan F. Ibarra;86;Santiago del Estero;2024;Dengue;8;De 20 a 24 años;13;1
014;Capital;14;Córdoba;2024;Dengue;4;De 2 a 4 años;12;310
063;General Güemes;22;Chaco;2024;Dengue;10;De 35 a 44 años;8;13
084;Paraná;30;Entre Ríos;2024;Dengue;11;De 45 a 65 años;5;14
001;COMUNA 1;02;CABA;2024;Dengue;9;De 25 a 34 años;10;154
539;Merlo;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;8;35
084;Libertador General San Martín;22;Chaco;2024;Dengue;12;Mayores de 65 años;9;2
161;Robles;86;Santiago del Estero;2024;Dengue;10;De 35 a 44 años;12;20
042;Capayán;10;Catamarca;2024;Dengue;12;Mayores de 65 años;6;1
056;Gualeguaychú;30;Entre Ríos;2024;Dengue;11;De 45 a 65 años;9;26
140;San Fernando;22;Chaco;2024;Dengue;11;De 45 a 65 años;11;88
028;Almirante Brown;06;Buenos Aires;2024;Dengue;8;De 20 a 24 años;9;23
021;Capital;18;Corrientes;2024;Dengue;8;De 20 a 24 años;3;38
007;Anta;66;Salta;2024;Dengue;4;De 2 a 4 años;15;8
084;Paraná;30;Entre Ríos;2024;Dengue;9;De 25 a 34 años;16;55
084;Capital;90;Tucumán;2024;Dengue;12;Mayores de 65 años;18;71
014;Cruz Alta;90;Tucumán;2024;Dengue;8;De 20 a 24 años;8;40
182;Unión;14;Córdoba;2024;Dengue;4;De 2 a 4 años;11;3
371;General San Martín;06;Buenos Aires;2024;Dengue;5;De 5 a 9 años;15;19
119;San Lorenzo;82;Santa Fe;2024;Dengue;5;De 5 a 9 años;10;13
084;Rivadavia;70;San Juan;2024;Dengue;11;De 45 a 65 años;20;1
014;Cainguás;54;Misiones;2024;Dengue;12;Mayores de 65 años;12;2
021;Colón;14;Córdoba;2024;Dengue;10;De 35 a 44 años;19;12
490;Lomas de Zamora;06;Buenos Aires;2024;Dengue;4;De 2 a 4 años;13;9
028;Capital;54;Misiones;2024;Dengue;7;De 15 a 19 años;3;35
658;Quilmes;06;Buenos Aires;2024;Dengue;6;De 10 a 14 años;17;9
042;General San Martín;14;Córdoba;2024;Dengue;10;De 35 a 44 años;14;207
021;Colón;14;Córdoba;2024;Dengue;11;De 45 a 65 años;7;8
091;Berazategui;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;7;15
021;Escalante;26;Chubut;2024;Dengue;9;De 25 a 34 años;4;1
021;Escalante;26;Chubut;2024;Dengue;10;De 35 a 44 años;2;2
021;Castellanos;82;Santa Fe;2024;Dengue;5;De 5 a 9 años;18;4
098;Uruguay;30;Entre Ríos;2024;Dengue;9;De 25 a 34 años;17;19
098;Uruguay;30;Entre Ríos;2024;Dengue;7;De 15 a 19 años;15;15
049;Pilcomayo;34;Formosa;2024;Dengue;7;De 15 a 19 años;16;1
049;Gualeguay;30;Entre Ríos;2024;Dengue;7;De 15 a 19 años;15;1
270;Ezeiza;06;Buenos Aires;2024;Dengue;11;De 45 a 65 años;11;9
413;Junín;06;Buenos Aires;2024;Dengue;8;De 20 a 24 años;10;3
028;Almirante Brown;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;19;6
013;COMUNA 13;02;CABA;2024;Dengue;6;De 10 a 14 años;7;2
028;Guaymallén;50;Mendoza;2024;Dengue;7;De 15 a 19 años;11;22
036;12 de Octubre;22;Chaco;2024;Dengue;8;De 20 a 24 años;8;2
140;San Justo;14;Córdoba;2024;Dengue;8;De 20 a 24 años;19;7
021;Dr. Manuel Belgrano;38;Jujuy;2024;Dengue;8;De 20 a 24 años;15;92
119;Presidencia de la Plaza;22;Chaco;2024;Dengue;6;De 10 a 14 años;12;11
070;Las Colonias;82;Santa Fe;2024;Dengue;5;De 5 a 9 años;8;3
568;Morón;06;Buenos Aires;2024;Dengue;6;De 10 a 14 años;10;11
105;Río Primero;14;Córdoba;2024;Dengue;6;De 10 a 14 años;17;19
140;San Justo;14;Córdoba;2024;Dengue;9;De 25 a 34 años;8;61
112;San Pedro;54;Misiones;2024;Dengue;7;De 15 a 19 años;15;2
